strDrink,idDrink,strCategory,strAlcoholic,strInstructions,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15
Irish Curdling Cow,16987,Cocktail,Alcoholic,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",Baileys irish cream,Bourbon,Vodka,Orange juice,,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,2-3 oz ,,,,,,,,,,,
Irish Curdling Cow,16987,Cocktail,Alcoholic,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",Baileys irish cream,Bourbon,Vodka,Orange juice,,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,2-3 oz ,,,,,,,,,,,
Irish Curdling Cow,16987,Cocktail,Alcoholic,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",Baileys irish cream,Bourbon,Vodka,Orange juice,,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,2-3 oz ,,,,,,,,,,,
Irish Russian,17015,Beer,Alcoholic,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,Vodka,Kahlua,Coca-Cola,Guinness stout,,,,,,,,,,,,1 shot ,1 shot ,1 dash ,Fill with ,,,,,,,,,,,
Jello shots,14956,Shot,Alcoholic,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...",Vodka,Jello,Water,,,,,,,,,,,,,2 cups ,3 packages ,3 cups ,,,,,,,,,,,,
Jitterbug,16178,Cocktail,Alcoholic,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",Gin,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,,,,,,,2 jiggers ,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with ,,,,,,,,
Jitterbug,16178,Cocktail,Alcoholic,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",Gin,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,,,,,,,2 jiggers ,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with ,,,,,,,,
Jitterbug,16178,Cocktail,Alcoholic,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",Gin,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,,,,,,,2 jiggers ,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with ,,,,,,,,
Jitterbug,16178,Cocktail,Alcoholic,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",Gin,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,,,,,,,2 jiggers ,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with ,,,,,,,,
Kamikaze,11600,Ordinary Drink,Alcoholic,"Shake all ingredients together with ice. Strain into glass, garnish and serve.",Vodka,Triple sec,Lime juice,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,
Kool-Aid Shot,13190,Shot,Alcoholic,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,Vodka,Amaretto,Sloe gin,Triple sec,Cranberry juice,,,,,,,,,,,1 shot ,1 shot ,1 shot ,1 shot ,,,,,,,,,,,
Kool-Aid Slammer,14446,Shot,Alcoholic,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",Kool-Aid,Vodka,,,,,,,,,,,,,,1/2 oz Grape ,1/2 oz ,,,,,,,,,,,,,
Long Island Iced Tea,17204,Ordinary Drink,Alcoholic,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,,,,,
Long Island Iced Tea,17204,Ordinary Drink,Alcoholic,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,,,,,
Long Island Iced Tea,17204,Ordinary Drink,Alcoholic,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,,,,,
Long Island Iced Tea,17204,Ordinary Drink,Alcoholic,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,,,,,
Long Island Iced Tea,17204,Ordinary Drink,Alcoholic,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,,,,,
Long Island Iced Tea,17204,Ordinary Drink,Alcoholic,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,,,,,
Long Island Iced Tea,17204,Ordinary Drink,Alcoholic,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,,,,,
Long Island Iced Tea,17204,Ordinary Drink,Alcoholic,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,,,,,
Long Island Iced Tea,17204,Ordinary Drink,Alcoholic,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,,,,,
Long Island Tea,11002,Ordinary Drink,Alcoholic,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,
Long Island Tea,11002,Ordinary Drink,Alcoholic,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,
Long Island Tea,11002,Ordinary Drink,Alcoholic,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,
Long Island Tea,11002,Ordinary Drink,Alcoholic,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,
Long Island Tea,11002,Ordinary Drink,Alcoholic,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,
Long Island Tea,11002,Ordinary Drink,Alcoholic,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,
Long Island Tea,11002,Ordinary Drink,Alcoholic,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,
Long Island Tea,11002,Ordinary Drink,Alcoholic,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,
Long Island Tea,11002,Ordinary Drink,Alcoholic,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,
Long vodka,13196,Ordinary Drink,Alcoholic,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka",Vodka,Lime,Angostura bitters,Tonic water,Ice,,,,,,,,,,,5 cl ,1/2 ,4 dashes ,1 dl Schweppes ,4 ,,,,,,,,,,
Moscow Mule,11009,Punch / Party Drink,Alcoholic,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,Vodka,Lime juice,Ginger ale,,,,,,,,,,,,,2 oz ,2 oz ,8 oz ,,,,,,,,,,,,
National Aquarium,13192,Ordinary Drink,Alcoholic,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,
National Aquarium,13192,Ordinary Drink,Alcoholic,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,
National Aquarium,13192,Ordinary Drink,Alcoholic,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,
National Aquarium,13192,Ordinary Drink,Alcoholic,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,
National Aquarium,13192,Ordinary Drink,Alcoholic,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,
National Aquarium,13192,Ordinary Drink,Alcoholic,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,
National Aquarium,13192,Ordinary Drink,Alcoholic,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,
National Aquarium,13192,Ordinary Drink,Alcoholic,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,
National Aquarium,13192,Ordinary Drink,Alcoholic,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,
Orange Crush,15330,Shot,Alcoholic,Add all ingredients to tumbler-Pour as shot,Vodka,Triple sec,Orange juice,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,
Orange Whip,16995,Other/Unknown,Alcoholic,Pour ingredients over ice and stir.,Orange juice,Rum,Vodka,Cream,Ice,,,,,,,,,,,4 oz ,1 oz ,1 oz ,1 package ,Over ,,,,,,,,,,
Orange Whip,16995,Other/Unknown,Alcoholic,Pour ingredients over ice and stir.,Orange juice,Rum,Vodka,Cream,Ice,,,,,,,,,,,4 oz ,1 oz ,1 oz ,1 package ,Over ,,,,,,,,,,
Orange Whip,16995,Other/Unknown,Alcoholic,Pour ingredients over ice and stir.,Orange juice,Rum,Vodka,Cream,Ice,,,,,,,,,,,4 oz ,1 oz ,1 oz ,1 package ,Over ,,,,,,,,,,
Orange Whip,16995,Other/Unknown,Alcoholic,Pour ingredients over ice and stir.,Orange juice,Rum,Vodka,Cream,Ice,,,,,,,,,,,4 oz ,1 oz ,1 oz ,1 package ,Over ,,,,,,,,,,
Oreo Mudslide,13499,Ordinary Drink,Alcoholic,"Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry.",Vodka,Kahlua,Baileys irish cream,Vanilla ice-cream,Oreo cookie,,,,,,,,,,,1 oz ,1 oz ,1 oz ,2 scoops ,1 ,,,,,,,,,,
Passion Fruit Martini,178323,Cocktail,Alcoholic,Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.,Vodka,Sugar Syrup,Passion fruit juice,,,,,,,,,,,,,1 shot,1/2 shot,Full Glass,,,,,,,,,,,,
Pink Panty Pulldowns,13535,Ordinary Drink,Alcoholic,Shake well,Sprite,Pink lemonade,Vodka,,,,,,,,,,,,,1 L ,2 cups ,2 cups ,,,,,,,,,,,,
Pink Penocha,16992,Punch / Party Drink,Alcoholic,mix all ingredients into bowl keep iced stir frequently,Everclear,Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,,,,,,750 ml ,1750 ml ,1750 ml ,1 gal ,1 gal ,,,,,,,,,,
Popped cherry,13072,Ordinary Drink,Alcoholic,Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,Vodka,Cherry liqueur,Cranberry juice,Orange juice,,,,,,,,,,,,2 oz ,2 oz ,4 oz ,4 oz ,,,,,,,,,,,
Radioactive Long Island Iced Tea,16984,Ordinary Drink,Alcoholic,Pour all ingredients over ice in a very tall glass. Sip cautiously.,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,
Radioactive Long Island Iced Tea,16984,Ordinary Drink,Alcoholic,Pour all ingredients over ice in a very tall glass. Sip cautiously.,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,
Radioactive Long Island Iced Tea,16984,Ordinary Drink,Alcoholic,Pour all ingredients over ice in a very tall glass. Sip cautiously.,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,
Radioactive Long Island Iced Tea,16984,Ordinary Drink,Alcoholic,Pour all ingredients over ice in a very tall glass. Sip cautiously.,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,
Radioactive Long Island Iced Tea,16984,Ordinary Drink,Alcoholic,Pour all ingredients over ice in a very tall glass. Sip cautiously.,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,
Radioactive Long Island Iced Tea,16984,Ordinary Drink,Alcoholic,Pour all ingredients over ice in a very tall glass. Sip cautiously.,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,
Radioactive Long Island Iced Tea,16984,Ordinary Drink,Alcoholic,Pour all ingredients over ice in a very tall glass. Sip cautiously.,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,
Radioactive Long Island Iced Tea,16984,Ordinary Drink,Alcoholic,Pour all ingredients over ice in a very tall glass. Sip cautiously.,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,
Radioactive Long Island Iced Tea,16984,Ordinary Drink,Alcoholic,Pour all ingredients over ice in a very tall glass. Sip cautiously.,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,
Russian Spring Punch,17214,Ordinary Drink,Alcoholic,"Pour the ingredients into an highball glass, top with Sparkling wine.",Vodka,Creme de Cassis,Sugar Syrup,Lemon Juice,,,,,,,,,,,,2.5 cl,1.5 cl,1 cl,2.5 cl,,,,,,,,,,,
San Francisco,15184,Ordinary Drink,Alcoholic,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",Vodka,Creme de Banane,Grenadine,Orange juice,,,,,,,,,,,,2 cl ,2 cl ,,,,,,,,,,,,,
Screaming Orgasm,13625,Ordinary Drink,Alcoholic,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first.",Vodka,Baileys irish cream,Kahlua,,,,,,,,,,,,,1 oz ,1 1/2 oz ,1/2 oz ,,,,,,,,,,,,
Screwdriver,12162,Ordinary Drink,Alcoholic,Mix in a highball glass with ice. Garnish and serve.,Vodka,Orange juice,,,,,,,,,,,,,,2 oz ,,,,,,,,,,,,,,
Sea breeze,13377,Ordinary Drink,Alcoholic,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,Vodka,Cranberry juice,Grapefruit juice,,,,,,,,,,,,,1 1/2 oz ,4 oz ,1 oz ,,,,,,,,,,,,
Sex on the Beach,12754,Ordinary Drink,Alcoholic,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,Vodka,Peach schnapps,Cranberry juice,Grapefruit juice,,,,,,,,,,,,1 oz ,3/4 oz ,,,,,,,,,,,,,
Shark Attack,16273,Cocktail,Alcoholic,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,Lemonade,Water,Vodka,,,,,,,,,,,,,1 can ,3 cans ,1 1/2 cup ,,,,,,,,,,,,
Vesper,17218,Cocktail,Alcoholic,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",Gin,Vodka,Lillet Blanc,,,,,,,,,,,,,6 cl,1.5 cl,0.75 cl,,,,,,,,,,,,
Vesper,17218,Cocktail,Alcoholic,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",Gin,Vodka,Lillet Blanc,,,,,,,,,,,,,6 cl,1.5 cl,0.75 cl,,,,,,,,,,,,
Vesper,17218,Cocktail,Alcoholic,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",Gin,Vodka,Lillet Blanc,,,,,,,,,,,,,6 cl,1.5 cl,0.75 cl,,,,,,,,,,,,
Vesper,17218,Cocktail,Alcoholic,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",Gin,Vodka,Lillet Blanc,,,,,,,,,,,,,6 cl,1.5 cl,0.75 cl,,,,,,,,,,,,
Victory Collins,12452,Ordinary Drink,Alcoholic,Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.,Vodka,Lemon juice,Grape juice,Powdered sugar,Orange,,,,,,,,,,,1 1/2 oz ,3 oz ,3 oz unsweetened ,1 tsp ,1 slice ,,,,,,,,,,
Vodka And Tonic,12460,Ordinary Drink,Alcoholic,"Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve.",Vodka,Tonic water,,,,,,,,,,,,,,2 oz ,,,,,,,,,,,,,,
Vodka Fizz,16967,Other/Unknown,Alcoholic,"Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.",Vodka,Half-and-half,Limeade,Ice,Nutmeg,,,,,,,,,,,2 oz ,2 oz ,2 oz ,,,,,,,,,,,,
Vodka Martini,14167,Ordinary Drink,Alcoholic,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.",Vodka,Dry Vermouth,Olive,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,1 ,,,,,,,,,,,,
Vodka Martini,14167,Ordinary Drink,Alcoholic,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.",Vodka,Dry Vermouth,Olive,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,1 ,,,,,,,,,,,,
Vodka Martini,14167,Ordinary Drink,Alcoholic,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.",Vodka,Dry Vermouth,Olive,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,1 ,,,,,,,,,,,,
Vodka Martini,14167,Ordinary Drink,Alcoholic,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.",Vodka,Dry Vermouth,Olive,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,1 ,,,,,,,,,,,,
Vodka Russian,15403,Ordinary Drink,Alcoholic,Mix it as a ordinary drink .,Vodka,Schweppes Russchian,,,,,,,,,,,,,,2 oz ,,,,,,,,,,,,,,
White Russian,12528,Ordinary Drink,Alcoholic,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.,Vodka,Coffee liqueur,Light cream,,,,,,,,,,,,,2 oz ,1 oz ,,,,,,,,,,,,,
Zipperhead,16942,Shot,Alcoholic,"Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top).",Chambord raspberry liqueur,Vodka,Soda water,,,,,,,,,,,,,1 shot ,1 shot ,Fill with ,,,,,,,,,,,,
Zorbatini,16963,Cocktail,Alcoholic,Prepare like a Martini. Garnish with a green olive.,Vodka,Ouzo,,,,,,,,,,,,,,1 1/4 oz Stoli ,1/4 oz ,,,,,,,,,,,,,
3-Mile Long Island Iced Tea,15300,Ordinary Drink,Alcoholic,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,,1-2 dash ,1 wedge ,,,,,,,
3-Mile Long Island Iced Tea,15300,Ordinary Drink,Alcoholic,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,,1-2 dash ,1 wedge ,,,,,,,
3-Mile Long Island Iced Tea,15300,Ordinary Drink,Alcoholic,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,,1-2 dash ,1 wedge ,,,,,,,
3-Mile Long Island Iced Tea,15300,Ordinary Drink,Alcoholic,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,,1-2 dash ,1 wedge ,,,,,,,
3-Mile Long Island Iced Tea,15300,Ordinary Drink,Alcoholic,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,,1-2 dash ,1 wedge ,,,,,,,
