,strDrink,idDrink,strDrinkAlternate,strDrinkES,strDrinkDE,strDrinkFR,strDrinkZH-HANS,strDrinkZH-HANT,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsZH-HANS,strInstructionsZH-HANT,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strCreativeCommonsConfirmed,dateModified
45,Bruised Heart,16998,,,,,,,,,Shot,,Alcoholic,Shot glass,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass",,"Alle Zutaten in einem Mixbecher über Eis gießen, umrühren und in ein Schnapsglas abseihen.",,,,Vodka,Chambord raspberry liqueur,Peachtree schnapps,Cranberry juice,,,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,No,2017-08-24 09:43:29
46,Bubble Gum,14730,,,,,,,,,Shot,,Alcoholic,Shot glass,Layer in order into a shot glass.,,Nacheinander in ein Schnapsglas schichten.,,,,Vodka,Banana liqueur,Orange juice,Peach schnapps,,,,,,,,,,,,1/4 ,1/4 ,1/4 ,1/4 ,,,,,,,,,,,,No,2016-07-18 22:53:03
47,Caribbean Orange Liqueur,12796,,,,,,,,,Homemade Liqueur,,Alcoholic,Collins Glass,"Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age.",,"Die hellfarbene Rinde der Orangen (kein Weiß) sehr dünn auftragen. Entfernen Sie die Schale auf Papiertüchern, um überschüssiges Öl zu entfernen. Schale in ein 4-Tassen-Schraubglas geben. Füge 2 Tassen Wodka hinzu. Glas schließen. An einem kühlen, dunklen Ort für 2 Tage oder bis der Wodka den Geschmack aufgenommen hat, lagern. Die Schale entfernen und den restlichen Wodka hinzufügen. Schließen Sie das Glas und lagern Sie es mindestens 1 Monat zur Reifung an einem kühlen, dunklen Ort.",,,,Orange,Vodka,Sugar,,,,,,,,,,,,,3 large ,3 cups ,1 1/3 cup superfine ,,,,,,,,,,,,,No,2016-08-31 19:19:30
48,Cherry Electric Lemonade,17174,,,,,,,,,Cocktail,,Alcoholic,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,,Nun kräftig umrühren und dann über einen großen Becher Eis gießen. Nun mit einem Strohhalm trinken und gelegentlich umrühren.,,,,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,,Yes,2015-12-28 10:45:48
49,Cherry Electric Lemonade,17174,,,,,,,,,Cocktail,,Alcoholic,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,,Nun kräftig umrühren und dann über einen großen Becher Eis gießen. Nun mit einem Strohhalm trinken und gelegentlich umrühren.,,,,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,,Yes,2015-12-28 10:45:48
50,Cherry Electric Lemonade,17174,,,,,,,,,Cocktail,,Alcoholic,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,,Nun kräftig umrühren und dann über einen großen Becher Eis gießen. Nun mit einem Strohhalm trinken und gelegentlich umrühren.,,,,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,,Yes,2015-12-28 10:45:48
51,Cherry Electric Lemonade,17174,,,,,,,,,Cocktail,,Alcoholic,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,,Nun kräftig umrühren und dann über einen großen Becher Eis gießen. Nun mit einem Strohhalm trinken und gelegentlich umrühren.,,,,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,,Yes,2015-12-28 10:45:48
52,Cherry Electric Lemonade,17174,,,,,,,,,Cocktail,,Alcoholic,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,,Nun kräftig umrühren und dann über einen großen Becher Eis gießen. Nun mit einem Strohhalm trinken und gelegentlich umrühren.,,,,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,,Yes,2015-12-28 10:45:48
53,Cherry Electric Lemonade,17174,,,,,,,,,Cocktail,,Alcoholic,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,,Nun kräftig umrühren und dann über einen großen Becher Eis gießen. Nun mit einem Strohhalm trinken und gelegentlich umrühren.,,,,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,,Yes,2015-12-28 10:45:48
54,Cherry Electric Lemonade,17174,,,,,,,,,Cocktail,,Alcoholic,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,,Nun kräftig umrühren und dann über einen großen Becher Eis gießen. Nun mit einem Strohhalm trinken und gelegentlich umrühren.,,,,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,,Yes,2015-12-28 10:45:48
55,Cherry Electric Lemonade,17174,,,,,,,,,Cocktail,,Alcoholic,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,,Nun kräftig umrühren und dann über einen großen Becher Eis gießen. Nun mit einem Strohhalm trinken und gelegentlich umrühren.,,,,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,,Yes,2015-12-28 10:45:48
56,Cherry Electric Lemonade,17174,,,,,,,,,Cocktail,,Alcoholic,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,,Nun kräftig umrühren und dann über einen großen Becher Eis gießen. Nun mit einem Strohhalm trinken und gelegentlich umrühren.,,,,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,,Yes,2015-12-28 10:45:48
57,Chocolate Black Russian,11243,,,,,,,,,Ordinary Drink,,Alcoholic,Champagne flute,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.,,Alle Zutaten in einem Elektromixer bei niedriger Geschwindigkeit für kurze Zeit vermischen. In ein gekühltes Champagner Glas geben und servieren.,,,,Kahlua,Vodka,Chocolate ice-cream,,,,,,,,,,,,,1 oz ,1/2 oz ,5 oz ,,,,,,,,,,,,,No,2016-09-01 10:07:59
58,Cosmopolitan Martini,14133,,,,,,,,,Cocktail,,Alcoholic,Cocktail Glass,"Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass.",,"Alle Zutaten in ein halb mit Eis gefülltes Mischglas geben, schütteln und in ein gekühltes Martini-Glas abseihen.",,,,Cointreau,Vodka,Lime,Cranberry juice,,,,,,,,,,,,1/2 oz ,1 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,,,,No,2015-08-18 15:19:40
59,Dirty Martini,17181,,,,,,,"IBA,NewEra",,Cocktail,New Era Drinks,Alcoholic,Cocktail glass,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",,"Wodka, trockenen Wermut und Olivensole in einen Cocktailshaker mit einer Handvoll Eis geben und gut schütteln.",,,,Vodka,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,,,,,,,70ml/2fl oz,1 tbsp,2 tbsp,1 wedge,1,,,,,,,,,,,No,2017-01-22 11:08:20
60,Espresso Martini,17212,,,,,,,"IBA,NewEra",,Cocktail,New Era Drinks,Alcoholic,Cocktail glass,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",,"Zutaten in einen mit Eis gefüllten Shaker geben, kräftig schütteln und in ein gekühltes Martini-Glas abseihen.",,,,Vodka,Kahlua,Sugar syrup,,,,,,,,,,,,,5 cl,1 cl,1 dash,,,,,,,,,,,,,No,2017-09-02 18:22:31
61,Flaming Dr. Pepper,13202,,,,,,,,,Shot,,Alcoholic,Collins Glass,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",,"Amaretto, Bacardi und Wodka vermengen. Dr. Pepper und Bier unterrühren.",,,,Amaretto,Vodka,151 proof rum,Dr. Pepper,Beer,,,,,,,,,,,1 oz ,1 oz ,1 oz Bacardi ,1 oz ,1 oz ,,,,,,,,,,,No,2017-08-24 10:03:04
62,Freddy Kruger,14688,,,,,,,,,Shot,,Alcoholic,Shot glass,make it an ample size shot!!,,Mach es zu einer großzügigen Dosis!!!!,,,,Jägermeister,Sambuca,Vodka,,,,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,,No,2016-04-28 19:06:38
63,French Martini,17213,,,,,,,"NewEra,IBA",,Cocktail,New Era Drinks,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,,Alle Zutaten in den Shaker mit Eiswürfeln geben. Gut schütteln und in ein gekühltes Cocktailglas abseihen. Das Öl aus der Zitronenschale auf das Getränk drücken.,,,,Vodka,Raspberry Liqueur,pineapple juice,,,,,,,,,,,,,4.5 cl,1.5 cl,1.5 cl,,,,,,,,,,,,,No,2017-09-02 18:25:34
64,Gideon's Green Dinosaur,17002,,,,,,,,,Ordinary Drink,,Alcoholic,Collins glass,Add all ingredients in collins glass with ice and stir.,,Alle Zutaten in das Collins-Glas mit Eis geben und umrühren.,,,,Dark rum,Vodka,Triple sec,Tequila,Melon liqueur,Mountain Dew,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Fill with ,,,,,,,,,,No,2017-08-24 09:50:36
65,Godchild,11422,,,,,,,,,Ordinary Drink,,Alcoholic,Champagne flute,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",,"Alle Zutaten gut mit gebrochenem Eis schütteln, in ein Sektglas abseihen und servieren.",,,,Vodka,Amaretto,Heavy cream,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,No,2017-09-07 22:47:09
66,Godmother,11424,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,,Alcoholic,Old-fashioned glass,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,,Wodka und Amaretto in ein old-fashioned Glas über Eis gießen und servieren.,,,,Vodka,Amaretto,,,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,,,,,,,,,,,,,,Yes,2017-09-02 17:16:24
67,Greyhound,17252,,,,,,,,,Cocktail,,Alcoholic,Collins glass,"Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

",,Den Wodka in ein mit Eis gefülltes Collins-Glas geben. Mit Grapefruitsaft übergießen und umrühren.,,,,Vodka,Grapefruit Juice,,,,,,,,,,,,,,1 1/2 oz,3 oz,,,,,,,,,,,,,,No,2017-12-19 18:05:32
68,Harvey Wallbanger,11462,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Collins glass,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",,"Wodka und Orangensaft mit Eis im Glas verrühren, dann den Galliano darauf verteilen. Garnieren und servieren.",,,,Vodka,Galliano,Orange juice,,,,,,,,,,,,,1 oz ,1/2 oz ,4 oz ,,,,,,,,,,,,,No,2017-09-02 17:28:45
69,Ice Pick #1,13539,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Put Vodka in glass fill with iced tea. Stir in lemon to taste.,,Wodka in ein Glas geben und mit Eistee füllen. Nach Belieben Zitrone unterrühren.,,,,Vodka,Iced tea,Lemon juice,,,,,,,,,,,,,1 1/2 oz ,6 oz ," to taste
",,,,,,,,,,,,,No,2016-07-21 10:02:06
70,Irish Curdling Cow,16987,,,,,,,,,Cocktail,,Alcoholic,Highball glass,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",,"Geben Sie Irish Cream, Wodka und Bourbon in ein Glas. Etwas Eis dazugeben und den Orangensaft unterrühren.",,,,Baileys irish cream,Bourbon,Vodka,Orange juice,,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,2-3 oz ,,,,,,,,,,,,No,2017-08-24 09:35:30
71,Irish Russian,17015,,,,,,,,,Beer,,Alcoholic,Highball glass,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,,"Fügen Sie die Zutaten gemäß der im Rezept angegebenen Reihenfolge hinzu. Beim Hinzufügen des Guinness ist Vorsicht geboten, um einen Schaumüberschuss zu vermeiden. Füge kein Eis hinzu.",,,,Vodka,Kahlua,Coca-Cola,Guinness stout,,,,,,,,,,,,1 shot ,1 shot ,1 dash ,Fill with ,,,,,,,,,,,,No,2016-02-03 15:18:50
72,Jello shots,14956,,,,,,,,,Shot,,Alcoholic,Shot glass,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...",,"Kochen Sie 3 Tassen Wasser und fügen Sie dann Jello hinzu. Jello und Wasser mischen, bis Jello vollständig aufgelöst ist. Fügen Sie die beiden Tassen Wodka hinzu und mischen Sie sie zusammen. Die Mischung in Kunststoff-Schnapsgläser füllen und kühl stellen. Dann iss es weg.....",,,,Vodka,Jello,Water,,,,,,,,,,,,,2 cups ,3 packages ,3 cups ,,,,,,,,,,,,,No,2017-09-08 16:35:04
73,Jitterbug,16178,,,,,,,,,Cocktail,,Alcoholic,Cocktail Glass,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",,"Feuchtes Glas, Tauchrand in Zucker. Dann fügen Sie Eis hinzu. Dann füge alles andere hinzu. So einfach ist das!",,,,Gin,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,,,,,,,2 jiggers ,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with ,,,,,,,,,No,2015-09-03 02:55:18
74,Jitterbug,16178,,,,,,,,,Cocktail,,Alcoholic,Cocktail Glass,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",,"Feuchtes Glas, Tauchrand in Zucker. Dann fügen Sie Eis hinzu. Dann füge alles andere hinzu. So einfach ist das!",,,,Gin,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,,,,,,,2 jiggers ,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with ,,,,,,,,,No,2015-09-03 02:55:18
75,Jitterbug,16178,,,,,,,,,Cocktail,,Alcoholic,Cocktail Glass,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",,"Feuchtes Glas, Tauchrand in Zucker. Dann fügen Sie Eis hinzu. Dann füge alles andere hinzu. So einfach ist das!",,,,Gin,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,,,,,,,2 jiggers ,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with ,,,,,,,,,No,2015-09-03 02:55:18
76,Jitterbug,16178,,,,,,,,,Cocktail,,Alcoholic,Cocktail Glass,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",,"Feuchtes Glas, Tauchrand in Zucker. Dann fügen Sie Eis hinzu. Dann füge alles andere hinzu. So einfach ist das!",,,,Gin,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,,,,,,,2 jiggers ,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with ,,,,,,,,,No,2015-09-03 02:55:18
77,Kamikaze,11600,,,,,,,"IBA,NewEra",,Ordinary Drink,New Era Drinks,Alcoholic,Cocktail glass,"Shake all ingredients together with ice. Strain into glass, garnish and serve.",,"Alle Zutaten zusammen mit Eis schütteln. In ein Glas abseihen, garnieren und servieren.",,,,Vodka,Triple sec,Lime juice,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,No,2017-09-02 18:26:44
78,Kool-Aid Shot,13190,,,,,,,,,Shot,,Alcoholic,Old-fashioned glass,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,,In ein großes Glas mit Eis gießen und umrühren. Nach Belieben etwas Preiselbeersaft hinzufügen.,,,,Vodka,Amaretto,Sloe gin,Triple sec,Cranberry juice,,,,,,,,,,,1 shot ,1 shot ,1 shot ,1 shot ,,,,,,,,,,,,No,2017-08-24 09:56:06
79,Kool-Aid Slammer,14446,,,,,,,,,Shot,,Alcoholic,Shot glass,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",,"Füllen Sie zuerst die Hälfte des Schnapsglases mit dem Kool-Aid. Dann legen Sie ein Papiertuch über das Glas und gießen Sie den Wodka langsam ein. Wenn du es richtig machst, solltest du sehen können, dass die beiden Flüssigkeiten getrennt sind, mit dem Wodka oben drauf. Jetzt knall es rein! Das Letzte, was du schmecken wirst, ist das Kool-Aid.",,,,Kool-Aid,Vodka,,,,,,,,,,,,,,1/2 oz Grape ,1/2 oz ,,,,,,,,,,,,,,No,2017-09-06 23:04:33
80,Long Island Iced Tea,17204,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Highball glass,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,,Den gesamten Inhalt in einem Highball-Glas mischen und vorsichtig umrühren. Für die Farbgebung einen Schuss Coca-Cola hinzufügen und mit Zitronen- oder Limettenspirale garnieren.,,,,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,,,,,,No,2017-09-02 17:41:50
81,Long Island Iced Tea,17204,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Highball glass,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,,Den gesamten Inhalt in einem Highball-Glas mischen und vorsichtig umrühren. Für die Farbgebung einen Schuss Coca-Cola hinzufügen und mit Zitronen- oder Limettenspirale garnieren.,,,,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,,,,,,No,2017-09-02 17:41:50
82,Long Island Iced Tea,17204,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Highball glass,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,,Den gesamten Inhalt in einem Highball-Glas mischen und vorsichtig umrühren. Für die Farbgebung einen Schuss Coca-Cola hinzufügen und mit Zitronen- oder Limettenspirale garnieren.,,,,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,,,,,,No,2017-09-02 17:41:50
83,Long Island Iced Tea,17204,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Highball glass,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,,Den gesamten Inhalt in einem Highball-Glas mischen und vorsichtig umrühren. Für die Farbgebung einen Schuss Coca-Cola hinzufügen und mit Zitronen- oder Limettenspirale garnieren.,,,,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,,,,,,No,2017-09-02 17:41:50
84,Long Island Tea,11002,,,,,,,"Strong,Asia,StrongFlavor,Brunch,Vegetarian",,Ordinary Drink,,Alcoholic,Highball glass,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,,"Alle Zutaten (außer Cola) mischen und in einem Highball-Glas über Eis gießen. Füge einen Spritzer Cola hinzu, um Farbe zu erhalten. Mit einer Scheibe Zitrone dekorieren und servieren.",,,,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,,Yes,2015-08-18 14:54:32
85,Long Island Tea,11002,,,,,,,"Strong,Asia,StrongFlavor,Brunch,Vegetarian",,Ordinary Drink,,Alcoholic,Highball glass,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,,"Alle Zutaten (außer Cola) mischen und in einem Highball-Glas über Eis gießen. Füge einen Spritzer Cola hinzu, um Farbe zu erhalten. Mit einer Scheibe Zitrone dekorieren und servieren.",,,,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,,Yes,2015-08-18 14:54:32
86,Long Island Tea,11002,,,,,,,"Strong,Asia,StrongFlavor,Brunch,Vegetarian",,Ordinary Drink,,Alcoholic,Highball glass,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,,"Alle Zutaten (außer Cola) mischen und in einem Highball-Glas über Eis gießen. Füge einen Spritzer Cola hinzu, um Farbe zu erhalten. Mit einer Scheibe Zitrone dekorieren und servieren.",,,,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,,Yes,2015-08-18 14:54:32
87,Long Island Tea,11002,,,,,,,"Strong,Asia,StrongFlavor,Brunch,Vegetarian",,Ordinary Drink,,Alcoholic,Highball glass,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,,"Alle Zutaten (außer Cola) mischen und in einem Highball-Glas über Eis gießen. Füge einen Spritzer Cola hinzu, um Farbe zu erhalten. Mit einer Scheibe Zitrone dekorieren und servieren.",,,,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,,Yes,2015-08-18 14:54:32
88,Long vodka,13196,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka",,"Schütteln Sie ein hohes Glas mit Eiswürfeln und Angostura und beschichten Sie so die Innenseite des Glases. Den Wodka darüber gießen, 1 Scheibe Limette hinzufügen und den Saft aus dem Rest herausquetschen, mit Tonic mischen, umrühren und voila, Sie haben einen langen Wodka.",,,,Vodka,Lime,Angostura bitters,Tonic water,Ice,,,,,,,,,,,5 cl ,1/2 ,4 dashes ,1 dl Schweppes ,4 ,,,,,,,,,,,No,2017-08-24 10:00:12
89,Moscow Mule,11009,,,,,,,"IBA,ContemporaryClassic",,Punch / Party Drink,Contemporary Classics,Alcoholic,Copper Mug,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,,Mischen Sie Wodka und Ingwerbier in einem mit Eis gefüllten Highball-Glas. Limettensaft hinzufügen. Vorsichtig umrühren. Garnieren.,,,,Vodka,Lime juice,Ginger ale,,,,,,,,,,,,,2 oz ,2 oz ,8 oz ,,,,,,,,,,,,,Yes,2017-09-02 17:49:48
90,National Aquarium,13192,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,,Alle Zutaten in einen Shaker mit Eis geben. Gut schütteln. Auf Eis servieren.,,,,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,,No,2017-08-24 09:57:01
91,National Aquarium,13192,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,,Alle Zutaten in einen Shaker mit Eis geben. Gut schütteln. Auf Eis servieren.,,,,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,,No,2017-08-24 09:57:01
92,National Aquarium,13192,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,,Alle Zutaten in einen Shaker mit Eis geben. Gut schütteln. Auf Eis servieren.,,,,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,,No,2017-08-24 09:57:01
93,National Aquarium,13192,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,,Alle Zutaten in einen Shaker mit Eis geben. Gut schütteln. Auf Eis servieren.,,,,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,,No,2017-08-24 09:57:01
94,National Aquarium,13192,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,,Alle Zutaten in einen Shaker mit Eis geben. Gut schütteln. Auf Eis servieren.,,,,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,,,,,,,No,2017-08-24 09:57:01
